usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
999999,53877,2008-01-06T17:25:00.0000000,35.495,-82.614,656,,,13.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,6,1
999999,53878,2008-01-25T06:15:00.0000000,35.419,-82.557,641,,,-9.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,25,1
999999,53877,2008-01-26T23:05:00.0000000,35.495,-82.614,656,,,3.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,26,1
999999,53878,2008-01-10T22:10:00.0000000,35.419,-82.557,641,,,7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,10,1
999999,53878,2008-01-19T13:25:00.0000000,35.419,-82.557,641,,,0.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,19,1
999999,53877,2008-01-07T06:55:00.0000000,35.495,-82.614,656,,,-1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,7,1
999999,53877,2008-01-30T00:30:00.0000000,35.495,-82.614,656,,,11.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,30,1
999999,53877,2008-01-06T08:25:00.0000000,35.495,-82.614,656,,,1.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,6,1
999999,53877,2008-01-25T20:00:00.0000000,35.495,-82.614,656,,1.1,4.5,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,25,1
999999,53877,2008-01-25T19:10:00.0000000,35.495,-82.614,656,,,3.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,25,1
999999,53878,2008-01-28T00:25:00.0000000,35.419,-82.557,641,,,2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53877,2008-01-23T06:35:00.0000000,35.495,-82.614,656,,,3.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,23,1
999999,53878,2008-01-20T10:45:00.0000000,35.419,-82.557,641,,,-9.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,20,1
999999,53877,2008-01-26T15:45:00.0000000,35.495,-82.614,656,,,2.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,26,1
999999,53877,2008-01-20T09:05:00.0000000,35.495,-82.614,656,,,-7.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,20,1
999999,53878,2008-01-15T23:35:00.0000000,35.419,-82.557,641,,,-1.2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,15,1
999999,53878,2008-01-07T20:30:00.0000000,35.419,-82.557,641,,,19.4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,7,1
999999,53878,2008-01-10T10:30:00.0000000,35.419,-82.557,641,,,5.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,10,1
999999,53878,2008-01-12T20:45:00.0000000,35.419,-82.557,641,,,11.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,12,1
999999,53877,2008-01-28T11:35:00.0000000,35.495,-82.614,656,,,-5.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,28,1
999999,53878,2008-01-14T16:05:00.0000000,35.419,-82.557,641,,,0.6,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,14,1
999999,53878,2008-01-19T04:45:00.0000000,35.419,-82.557,641,,,3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,19,1
999999,53878,2008-01-03T06:45:00.0000000,35.419,-82.557,641,,,-10.2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,3,1
999999,53878,2008-01-16T18:50:00.0000000,35.419,-82.557,641,,,4.2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,16,1
999999,53877,2008-01-22T01:25:00.0000000,35.495,-82.614,656,,,-2.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,22,1
999999,53878,2008-01-28T00:15:00.0000000,35.419,-82.557,641,,,2.6,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53877,2008-01-30T14:45:00.0000000,35.495,-82.614,656,,,-0.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,30,1
999999,53877,2008-01-02T09:05:00.0000000,35.495,-82.614,656,,,-9.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,2,1
999999,53878,2008-01-20T05:50:00.0000000,35.419,-82.557,641,,,-4.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,20,1
999999,53878,2008-01-19T23:25:00.0000000,35.419,-82.557,641,,,-0.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,19,1
999999,53877,2008-01-31T08:55:00.0000000,35.495,-82.614,656,,,-8.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,31,1
999999,53878,2008-01-04T14:45:00.0000000,35.419,-82.557,641,,,-5.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,4,1
999999,53878,2008-01-06T20:40:00.0000000,35.419,-82.557,641,,,17,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,6,1
999999,53878,2008-01-21T06:10:00.0000000,35.419,-82.557,641,,,-10.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,21,1
999999,53878,2008-01-05T00:35:00.0000000,35.419,-82.557,641,,,0.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,5,1
999999,53877,2008-01-26T03:20:00.0000000,35.495,-82.614,656,,,-0.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,26,1
999999,53877,2008-01-14T07:05:00.0000000,35.495,-82.614,656,,,-2.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,14,1
999999,53877,2008-01-10T10:25:00.0000000,35.495,-82.614,656,,,6.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,10,1
999999,53877,2008-01-19T01:45:00.0000000,35.495,-82.614,656,,,-0.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,19,1
999999,53877,2008-01-19T22:25:00.0000000,35.495,-82.614,656,,,-1.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,19,1
999999,53878,2008-01-28T11:55:00.0000000,35.419,-82.557,641,,,-4.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53878,2008-01-26T14:50:00.0000000,35.419,-82.557,641,,,0.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,26,1
999999,53877,2008-01-28T23:00:00.0000000,35.495,-82.614,656,,0.3,8.6,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,28,1
999999,53878,2008-01-25T05:35:00.0000000,35.419,-82.557,641,,,-8.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,25,1
999999,53877,2008-01-15T19:45:00.0000000,35.495,-82.614,656,,,1.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,15,1
999999,53877,2008-01-17T20:00:00.0000000,35.495,-82.614,656,,0.4,2.8,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,17,1
999999,53878,2008-01-02T04:35:00.0000000,35.419,-82.557,641,,,-4.2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,2,1
999999,53878,2008-01-21T21:40:00.0000000,35.419,-82.557,641,,,-0.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,21,1
999999,53878,2008-01-27T05:10:00.0000000,35.419,-82.557,641,,,-1.6,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,27,1
999999,53878,2008-01-20T15:45:00.0000000,35.419,-82.557,641,,,-8.4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,20,1
999999,53877,2008-01-10T18:55:00.0000000,35.495,-82.614,656,,,8.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,10,1
999999,53878,2008-01-26T20:15:00.0000000,35.419,-82.557,641,,,8.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,26,1
999999,53878,2008-01-01T01:25:00.0000000,35.419,-82.557,641,,,1.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,1,1
999999,53877,2008-01-09T10:00:00.0000000,35.495,-82.614,656,,0.4,14.5,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,9,1
999999,53877,2008-01-20T11:15:00.0000000,35.495,-82.614,656,,,-10.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,20,1
999999,53878,2008-01-02T06:10:00.0000000,35.419,-82.557,641,,,-5.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,2,1
999999,53877,2008-01-11T12:30:00.0000000,35.495,-82.614,656,,,9.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,11,1
999999,53877,2008-01-19T19:50:00.0000000,35.495,-82.614,656,,,-1.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,19,1
999999,53878,2008-01-28T04:15:00.0000000,35.419,-82.557,641,,,1.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53877,2008-01-10T20:20:00.0000000,35.495,-82.614,656,,,8.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,10,1
999999,53877,2008-01-08T11:15:00.0000000,35.495,-82.614,656,,,12.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,8,1
999999,53877,2008-01-03T05:45:00.0000000,35.495,-82.614,656,,,-10.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,3,1
999999,53878,2008-01-11T17:05:00.0000000,35.419,-82.557,641,,,10.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,11,1
999999,53878,2008-01-10T02:40:00.0000000,35.419,-82.557,641,,,4.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,10,1
999999,53878,2008-01-19T08:55:00.0000000,35.419,-82.557,641,,,1.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,19,1
999999,53878,2008-01-01T04:45:00.0000000,35.419,-82.557,641,,,-0.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,1,1
999999,53878,2008-01-13T19:05:00.0000000,35.419,-82.557,641,,,7.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,13,1
999999,53878,2008-01-11T22:45:00.0000000,35.419,-82.557,641,,,7.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,11,1
999999,53877,2008-01-17T02:20:00.0000000,35.495,-82.614,656,,,-1.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,17,1
999999,53877,2008-01-25T19:30:00.0000000,35.495,-82.614,656,,,4.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,25,1
999999,53878,2008-01-24T20:10:00.0000000,35.419,-82.557,641,,,0.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,24,1
999999,53878,2008-01-27T10:10:00.0000000,35.419,-82.557,641,,,-0.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,27,1
999999,53878,2008-01-03T13:55:00.0000000,35.419,-82.557,641,,,-9.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,3,1
999999,53877,2008-01-03T06:40:00.0000000,35.495,-82.614,656,,,-10.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,3,1
999999,53878,2008-01-28T08:40:00.0000000,35.419,-82.557,641,,,0.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53877,2008-01-04T01:15:00.0000000,35.495,-82.614,656,,,-7.8,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,4,1
999999,53878,2008-01-27T23:40:00.0000000,35.419,-82.557,641,,,2.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,27,1
999999,53878,2008-01-07T16:55:00.0000000,35.419,-82.557,641,,,14.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,7,1
999999,53877,2008-01-22T03:25:00.0000000,35.495,-82.614,656,,,-2.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,22,1
999999,53878,2008-01-30T11:10:00.0000000,35.419,-82.557,641,,,-0.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,30,1
999999,53877,2008-01-27T06:15:00.0000000,35.495,-82.614,656,,,-3.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,27,1
999999,53878,2008-01-16T20:50:00.0000000,35.419,-82.557,641,,,3.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,16,1
999999,53877,2008-01-14T19:45:00.0000000,35.495,-82.614,656,,,6.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,14,1
999999,53877,2008-01-10T15:25:00.0000000,35.495,-82.614,656,,,7.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,10,1
999999,53878,2008-01-15T13:10:00.0000000,35.419,-82.557,641,,,-3.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,15,1
999999,53878,2008-01-06T03:15:00.0000000,35.419,-82.557,641,,,5.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,6,1
999999,53877,2008-01-20T08:25:00.0000000,35.495,-82.614,656,,,-7.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,20,1
999999,53878,2008-01-31T11:35:00.0000000,35.419,-82.557,641,,,-5.6,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,31,1
999999,53877,2008-01-05T17:40:00.0000000,35.495,-82.614,656,,,9.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,5,1
999999,53878,2008-01-03T12:35:00.0000000,35.419,-82.557,641,,,-10.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,3,1
999999,53878,2008-01-19T12:20:00.0000000,35.419,-82.557,641,,,0.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,19,1
999999,53878,2008-01-10T16:55:00.0000000,35.419,-82.557,641,,,6.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,10,1
999999,53878,2008-01-16T04:25:00.0000000,35.419,-82.557,641,,,-3.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,16,1
999999,53878,2008-01-14T15:00:00.0000000,35.419,-82.557,641,,2.6,-0.6,,,,,1,0,,ASHEVILLE 13 S,US,999999-53878,2008,14,1
999999,53877,2008-01-16T18:00:00.0000000,35.495,-82.614,656,,1.5,4.2,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,16,1
999999,53878,2008-01-03T23:05:00.0000000,35.419,-82.557,641,,,-2.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,3,1
999999,53878,2008-01-25T16:30:00.0000000,35.419,-82.557,641,,,-2.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,25,1
999999,53878,2008-01-23T17:40:00.0000000,35.419,-82.557,641,,,6.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,23,1
999999,53878,2008-01-25T21:25:00.0000000,35.419,-82.557,641,,,2.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,25,1
999999,53877,2008-01-27T00:50:00.0000000,35.495,-82.614,656,,,0.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,27,1
999999,53878,2008-01-07T00:10:00.0000000,35.419,-82.557,641,,,12,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,7,1
999999,53877,2008-01-21T13:45:00.0000000,35.495,-82.614,656,,,-13.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,21,1
999999,53878,2008-01-28T05:20:00.0000000,35.419,-82.557,641,,,1.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53878,2008-01-20T16:45:00.0000000,35.419,-82.557,641,,,-7.4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,20,1
999999,53877,2008-01-07T23:45:00.0000000,35.495,-82.614,656,,,13.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,7,1
999999,53877,2008-01-06T06:05:00.0000000,35.495,-82.614,656,,,1.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,6,1
999999,53878,2008-01-12T20:20:00.0000000,35.419,-82.557,641,,,11,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,12,1
999999,53877,2008-01-12T18:10:00.0000000,35.495,-82.614,656,,,9.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,12,1
999999,53877,2008-01-12T02:05:00.0000000,35.495,-82.614,656,,,2.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,12,1
999999,53878,2008-01-04T15:25:00.0000000,35.419,-82.557,641,,,-3.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,4,1
999999,53877,2008-01-24T05:50:00.0000000,35.495,-82.614,656,,,-4.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,24,1
999999,53877,2008-01-06T10:40:00.0000000,35.495,-82.614,656,,,0,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,6,1
999999,53877,2008-01-24T01:45:00.0000000,35.495,-82.614,656,,,-1.8,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,24,1
999999,53878,2008-01-23T10:55:00.0000000,35.419,-82.557,641,,,2.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,23,1
999999,53878,2008-01-13T21:40:00.0000000,35.419,-82.557,641,,,6.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,13,1
999999,53877,2008-01-23T13:35:00.0000000,35.495,-82.614,656,,,2.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,23,1
999999,53877,2008-01-02T05:05:00.0000000,35.495,-82.614,656,,,-4.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,2,1
999999,53877,2008-01-03T11:05:00.0000000,35.495,-82.614,656,,,-12.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,3,1
999999,53877,2008-01-06T12:05:00.0000000,35.495,-82.614,656,,,-0.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,6,1
999999,53877,2008-01-07T20:20:00.0000000,35.495,-82.614,656,,,19.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,7,1
999999,53877,2008-01-04T11:25:00.0000000,35.495,-82.614,656,,,-13.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,4,1
999999,53877,2008-01-21T01:20:00.0000000,35.495,-82.614,656,,,-9.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,21,1
999999,53877,2008-01-18T09:00:00.0000000,35.495,-82.614,656,,0.9,2.4,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,18,1
999999,53878,2008-01-02T23:50:00.0000000,35.419,-82.557,641,,,-9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,2,1
999999,53878,2008-01-02T18:00:00.0000000,35.419,-82.557,641,,3.7,-5.8,,,,,1,0,,ASHEVILLE 13 S,US,999999-53878,2008,2,1
999999,53878,2008-01-04T03:25:00.0000000,35.419,-82.557,641,,,-7.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,4,1
999999,53878,2008-01-03T17:55:00.0000000,35.419,-82.557,641,,,-1.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,3,1
999999,53877,2008-01-16T11:00:00.0000000,35.495,-82.614,656,,0.1,-9.6,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,16,1
999999,53877,2008-01-01T19:30:00.0000000,35.495,-82.614,656,,,4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,1,1
999999,53878,2008-01-21T21:00:00.0000000,35.419,-82.557,641,,4.3,0.3,,,,,1,0,,ASHEVILLE 13 S,US,999999-53878,2008,21,1
999999,53878,2008-01-12T19:00:00.0000000,35.419,-82.557,641,,1.2,9.8,,,,,1,0,,ASHEVILLE 13 S,US,999999-53878,2008,12,1
999999,53878,2008-01-06T21:40:00.0000000,35.419,-82.557,641,,,15.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,6,1
999999,53878,2008-01-08T13:00:00.0000000,35.419,-82.557,641,,2.7,12.9,,,,,1,0,,ASHEVILLE 13 S,US,999999-53878,2008,8,1
999999,53878,2008-01-24T18:25:00.0000000,35.419,-82.557,641,,,2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,24,1
999999,53877,2008-01-21T20:10:00.0000000,35.495,-82.614,656,,,1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,21,1
999999,53878,2008-01-08T04:40:00.0000000,35.419,-82.557,641,,,12.6,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,8,1
999999,53877,2008-01-12T21:50:00.0000000,35.495,-82.614,656,,,10.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,12,1
999999,53877,2008-01-25T04:05:00.0000000,35.495,-82.614,656,,,-7.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,25,1
999999,53877,2008-01-19T07:55:00.0000000,35.495,-82.614,656,,,1.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,19,1
999999,53878,2008-01-04T02:50:00.0000000,35.419,-82.557,641,,,-6.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,4,1
999999,53878,2008-01-16T14:20:00.0000000,35.419,-82.557,641,,,-4.5,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,16,1
999999,53877,2008-01-26T01:55:00.0000000,35.495,-82.614,656,,,-0.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,26,1
999999,53878,2008-01-14T13:05:00.0000000,35.419,-82.557,641,,,-2.4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,14,1
999999,53877,2008-01-13T10:40:00.0000000,35.495,-82.614,656,,,0.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,13,1
999999,53877,2008-01-31T21:20:00.0000000,35.495,-82.614,656,,,4.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,31,1
999999,53878,2008-01-01T17:20:00.0000000,35.419,-82.557,641,,,4.8,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,1,1
999999,53878,2008-01-22T10:45:00.0000000,35.419,-82.557,641,,,-1.4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,22,1
999999,53877,2008-01-18T01:50:00.0000000,35.495,-82.614,656,,,0.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,18,1
999999,53877,2008-01-25T03:10:00.0000000,35.495,-82.614,656,,,-7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,25,1
999999,53877,2008-01-31T05:35:00.0000000,35.495,-82.614,656,,,-6.3,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,31,1
999999,53878,2008-01-12T11:45:00.0000000,35.419,-82.557,641,,,-0.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,12,1
999999,53878,2008-01-31T15:10:00.0000000,35.419,-82.557,641,,,-1.2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,31,1
999999,53877,2008-01-24T16:35:00.0000000,35.495,-82.614,656,,,0.8,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,24,1
999999,53878,2008-01-09T03:35:00.0000000,35.419,-82.557,641,,,14.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,9,1
999999,53878,2008-01-12T23:05:00.0000000,35.419,-82.557,641,,,8.1,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,12,1
999999,53877,2008-01-26T11:55:00.0000000,35.495,-82.614,656,,,-0.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,26,1
999999,53878,2008-01-26T13:55:00.0000000,35.419,-82.557,641,,,-0.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,26,1
999999,53878,2008-01-03T10:50:00.0000000,35.419,-82.557,641,,,-10.7,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,3,1
999999,53878,2008-01-01T23:10:00.0000000,35.419,-82.557,641,,,-0.4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,1,1
999999,53878,2008-01-18T07:30:00.0000000,35.419,-82.557,641,,,2.9,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,18,1
999999,53877,2008-01-15T18:20:00.0000000,35.495,-82.614,656,,,1.1,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,15,1
999999,53877,2008-01-28T16:55:00.0000000,35.495,-82.614,656,,,9.5,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,28,1
999999,53877,2008-01-16T19:45:00.0000000,35.495,-82.614,656,,,4.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,16,1
999999,53878,2008-01-28T22:05:00.0000000,35.419,-82.557,641,,,13,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,28,1
999999,53877,2008-01-01T04:30:00.0000000,35.495,-82.614,656,,,-1.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,1,1
999999,53878,2008-01-30T04:10:00.0000000,35.419,-82.557,641,,,9.3,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,30,1
